crm_cd,crm_cd_desc,crm_cd_desc
110,CRIMINAL HOMICIDE,1
113,"MANSLAUGHTER, NEGLIGENT",1
121,"RAPE, FORCIBLE",1
122,"RAPE, ATTEMPTED",1
210,ROBBERY,1
220,ATTEMPTED ROBBERY,1
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1
237,CHILD NEGLECT (SEE 300 W.I.C.),1
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1
251,SHOTS FIRED AT INHABITED DWELLING,1
310,BURGLARY,1
320,"BURGLARY, ATTEMPTED",1
330,BURGLARY FROM VEHICLE,1
331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1
345,DISHONEST EMPLOYEE - GRAND THEFT,1
347,GRAND THEFT / INSURANCE FRAUD,1
349,GRAND THEFT / AUTO REPAIR,1
350,"THEFT, PERSON",1
351,PURSE SNATCHING,1
352,PICKPOCKET,1
353,DRUNK ROLL,1
354,THEFT OF IDENTITY,1
410,"BURGLARY FROM VEHICLE, ATTEMPTED",1
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1
421,THEFT FROM MOTOR VEHICLE - ATTEMPT,1
432,BLOCKING DOOR INDUCTION CENTER,1
433,DRIVING WITHOUT OWNER CONSENT (DWOC),1
434,FALSE IMPRISONMENT,1
435,LYNCHING,1
436,LYNCHING - ATTEMPTED,1
437,RESISTING ARREST,1
438,RECKLESS DRIVING,1
439,FALSE POLICE REPORT,1
440,THEFT PLAIN - PETTY ($950 & UNDER),1
441,THEFT PLAIN - ATTEMPT,1
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1
443,SHOPLIFTING - ATTEMPT,1
444,DISHONEST EMPLOYEE - PETTY THEFT,1
445,DISHONEST EMPLOYEE ATTEMPTED THEFT,1
446,PETTY THEFT - AUTO REPAIR,1
450,THEFT FROM PERSON - ATTEMPT,1
451,PURSE SNATCHING - ATTEMPT,1
452,"PICKPOCKET, ATTEMPT",1
453,DRUNK ROLL - ATTEMPT,1
470,TILL TAP - GRAND THEFT ($950.01 & OVER),1
471,TILL TAP - PETTY ($950 & UNDER),1
472,TILL TAP - ATTEMPT,1
473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",1
474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",1
475,"THEFT, COIN MACHINE - ATTEMPT",1
480,BIKE - STOLEN,1
485,BIKE - ATTEMPTED STOLEN,1
